品牌,品牌中文名,型号,产品线,价格,续航,最高时速,电池说明,电机功率,峰值功率,充电器与充电时间,制动,减震,车架材质,整车质量,最大载重,轴距,座高,长宽高,离地间隙,轮胎轮圈,智能化及其他,其它列_JSON,原始来源文件
Stark Future,,型号：EX,电动摩托车,约 94178 元（MSRP 12990 USD × 7.25 参考汇率，非中国官方零售价）,,,电池：无,电机：碳纤维 fiber housing 360V,功率：60/80 hp；扭矩：1036 Nm (on the rear wheel),"充电器：3.3 千瓦, 16 A, 120/240 V；充电时间：3.5 小时 @ 120 V
2 小时 @ 240 V","制动：Front:?2-piston caliper, 260 毫米 disc
Rear:?1-piston caliper, 220 毫米 disc","悬挂：Front:?48 毫米 closed cartridge coil-spring fork, compression and rebound damping adjustable, 300 毫米 travel
Rear:?KYB Shock triple adjuster (spring preload, high/low speed compression damping, damping adjustable), 303 毫米 rear wheel travel",车架：Chromoly steel,重量：120 千克,,轴距：148.8 厘米,"座高：Fully extended: 99.0 厘米
Static sag: 96.6 厘米",,"离地间隙：Fully extended: 36.8 厘米
Static sag: 34.5 厘米","轮胎：Front:?90/90-21
Rear:?140/80-18",,"{""前倾角"": ""26.1°"", ""驱动说明"": ""RK MXU UW-ring Gold 520 chain & 7075 T6 rear sprocket""}",stark.csv
Stark Future,,型号：MX1.2,电动摩托车,约 90552 元（MSRP 12490 USD × 7.25 参考汇率，非中国官方零售价）,,,"电池：7.2 千瓦时, 420 伏",电机：碳纤维 fiber housing 360V,功率：60/80 hp；扭矩：978 Nm on the rear wheel,"充电器：3.3 千瓦, 16 A, 120/240 V；充电时间：3,5 小时 @ 120 V
2 小时 @ 240 V","制动：Brembo
Front
2-piston caliper, 260 毫米 Galfer disc
Rear
1-piston caliper, 220 毫米 Galfer disc","悬挂：KYB
Front
48 毫米 closed cartridge coil-spring fork, compressionâ€¨and rebound damping adjustable, 310 毫米 travel
Rear
KYB Shock triple adjuster, spring preload, high/low speed compression damping, and damping adjustable. 303 毫米 rear wheel travel",车架：High strength steel,重量：118 千克,,轴距：148.7 厘米,座高：96.0 厘米,,离地间隙：33.9 厘米,"轮胎：Tire Size (18 英寸 configuration):
Front: 90/90 - 21
Rear: 140/80 - 18
Tire Size (19 英寸 configuration):
Front: 80/100 - 21
Rear: 110/90 - 19",,"{""前倾角"": ""27.3°"", ""驱动说明"": ""RK MXU UW-ring Gold 520 chain & 7075 T6 rear sprocket""}",stark.csv
Stark Future,,型号：SM,电动摩托车,约 94178 元（MSRP 12990 USD × 7.25 参考汇率，非中国官方零售价）,,,"电池：7.2 千瓦时, 420 伏",电机：碳纤维 fiber housing 360V,功率：60/80 hp；扭矩：914 Nm on the rear wheel,"充电器：3.3 千瓦, 16 A, 120/240 V；充电时间：3,5 小时 @ 120 V
2 小时 @ 240 V","制动：Brembo
Front
4-piston radial caliper, 320 毫米 disc
Rear
1-piston caliper, 220 毫米 disc","悬挂：KYB
Front
48 毫米 closed cartridge coil-spring fork, compressionâ€¨and rebound damping adjustable, 290 毫米 travel
Rear
KYB Shock triple adjuster, spring preload, high/low speed compression damping, and damping adjustable. 303 毫米 rear wheel travel",车架：High strength steel,重量：Weight,,轴距：147.1 厘米,座高：93.5 厘米,,离地间隙：31.2 厘米,"轮胎：Front
120/70-17
Rear
140/70-17",,"{""前倾角"": ""26.1°"", ""驱动说明"": ""RK MXU UW-ring Gold 520 chain & 7075 T6 rear sprocket""}",stark.csv
Ninebot,九号,Kids_C2 Lite,电动滑板车,,标称续航 9 公里；最大续航 14 公里；最长骑行约 70 分钟,16 千米/时,,120 瓦,,防水 IPX4,机械制动器（离合器制动器）,,HC419高强度钢框架,7.8,50,,,856×400×950,,7英寸橡胶轮胎,APP：ninebot app；蓝牙音箱：是,"{""LED"": ""是"", ""可折叠"": ""是"", ""推荐年龄(year)"": ""6-10"", ""推荐高度(cm)"": ""115-145"", ""灯光系统"": ""RGB底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,C2 Pro,电动滑板车,,"最大续航 D：14
S：11 公里",20 千米/时,21.6 25.2 86.4 4000 Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection,150 瓦,260 瓦,3.5；防水 IPX4,机械手刹,,高强度钢框架,10.7,75,,,910×400×885/960/1035,,7英寸内径双减震轮胎,APP：ninebot app；蓝牙音箱：是,"{""LED"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""910×400×500"", ""推荐年龄(year)"": ""8-18"", ""推荐高度(cm)"": ""115—175"", ""最大爬坡角度(°)"": ""5"", ""灯光系统"": ""RGB底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,E2,电动滑板车,,"标称续航 16 公里；最大续航 S:16
D:16
E:20 公里",20 千米/时,173 Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection,250 瓦,450 瓦,7.5；防水 IPX4,电子式鼓式制动器,,汽车级SPFH589钢框架,15,,,,1070×445×1140,,8.1英寸中空减震轮胎,APP：ninebot app,"{""可折叠"": ""是"", ""推荐年龄(year)"": ""14-60"", ""推荐高度(cm)"": ""145-190"", ""最大爬坡角度(°)"": ""12"", ""灯光系统"": ""前大灯 + 刹车灯""}",ninebot-esc.csv
Ninebot,九号,E2Plus,电动滑板车,,"标称续航 13 公里；最大续航 S:13
D:16
E:20 公里",25 千米/时,173 Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection,300 瓦,500 瓦,7；防水 IPX4,电子式鼓式制动器,,汽车级SPFH589钢框架,16.1,,,,1081×445×1177,,8.2英寸中空减震轮胎,APP：ninebot app,"{""LED"": ""是"", ""可折叠"": ""是"", ""推荐年龄(year)"": ""14-60"", ""推荐高度(cm)"": ""130-190"", ""最大爬坡角度(°)"": ""12"", ""灯光系统"": ""前大灯 + 刹车灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,E2Pro,电动滑板车,,"标称续航 20 公里；最大续航 S:20
D:27
E:30 公里",25 千米/时,209 Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection,350 瓦,750 瓦,4.5；防水 IPX4,电子式鼓式制动器,,汽车级SPFH589钢框架,18.8,,,,1168×540×1217,,前后双10英寸大直径空心轮胎,APP：ninebot app,"{""LED"": ""是"", ""antivol"": ""是"", ""可折叠"": ""是"", ""推荐年龄(year)"": ""16-60"", ""推荐高度(cm)"": ""140-200"", ""最大爬坡角度(°)"": ""18"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,F2 pro,电动滑板车,,"最大续航 E：35 
D：25 
S：20 公里",30 千米/时,281 Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection + Low Battery Auto Sleep,450 瓦,,5,前盘式制动器 + 后制动器,前悬挂,,18.5,120,,,1158.5×570×1252,,10英寸无内胎自修复黑色轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""LED"": ""是"", ""antivol"": ""是"", ""可折叠"": ""是"", ""喇叭"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1158.5 × 520 × 1299"", ""推荐年龄(year)"": ""16-55"", ""推荐高度(cm)"": ""120—200"", ""最大爬坡角度(°)"": ""22"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯"", ""车道保持"": ""是""}",ninebot-esc.csv
Ninebot,九号,F2 plus,电动滑板车,,"标称续航 20 公里；最大续航 E:40
D:30
S:20 公里",30 千米/时,,400 瓦,,防水 IPX5,前盘式制动器 + 后制动器,前悬挂,,17.8,120,,,1143×570×1237,,10英寸自修复凝胶轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""antivol"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1143×570×507"", ""推荐年龄(year)"": ""14-55"", ""推荐高度(cm)"": ""140-200"", ""最大爬坡角度(°)"": ""18"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,F3,电动滑板车,,"最大续航 S:30
D:40
E:55 公里",32 千米/时,46.8 375,450 瓦,1000 瓦,6；防水 IPX6,前盘式制动器 + 后制动器,前液压+后扭转橡胶悬挂,,19.3,120,,,1152×590×1262,,10英寸自修复凝胶轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""LED"": ""是"", ""SegRide"": ""是"", ""antivol"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1152×590×613"", ""最大爬坡角度(°)"": ""20"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,E3,电动滑板车,,"最大续航 S:16
D:22
E:33 公里",32 千米/时,36 209,400 瓦,,4.5；防水 IPX5,前盘式制动器 + 后制动器,前后扭转橡胶悬挂系统,升级的镁铝合金框架,18.5,120,,,1165×563×1235,,10英寸自修复凝胶轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""LED"": ""是"", ""SegRide"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1235×564×445"", ""最大爬坡角度(°)"": ""18"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,E3 Pro,电动滑板车,,"最大续航 S:21
D:31
E:46 公里",32 千米/时,36 281,400 瓦,800 瓦,5.5；防水 IPX5,前盘式制动器 + 后制动器,前后扭转橡胶悬挂系统,升级的镁铝合金框架,18.9,120,,,1165×563×1235,,10英寸自修复凝胶轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""LED"": ""是"", ""SegRide"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1235×564×445"", ""最大爬坡角度(°)"": ""18"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,Max G3,电动滑板车,,"最大续航 S:30
D:40
E:50 公里",40 千米/时,46.8 459 Dual Overcharge Protection / Dual Overtemperature Protection / Dual Overdischarge Protection / Short Circuit Protection / Overcurrent Protection / Battery Low Voltage Protection / RTC Function / Log Function,850 瓦,2000 瓦,3.5；防水 IPX6,前后双作用盘式制动系统,前后双重液压悬挂系统,升级的铝合金框架,24.6,130,,,1218×590×1299,,11英寸自修复黑色轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""LED"": ""是"", ""SegRide"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1218×590×592"", ""最大爬坡角度(°)"": ""30"", ""灯光系统"": ""前大灯 + 刹车灯 + 前后转向灯 + 底盘氛围灯""}",ninebot-esc.csv
Ninebot,九号,segway ZT3 Pro,电动滑板车,,"标称续航 32 公里；最大续航 S挡32
D挡38
E挡51 公里",32 千米/时,Overvoltage / Undervoltage / Short Circuit / Overcurrent / Overtemperature Protection,650 瓦,1600 瓦,防水 IPX5,前单作用盘式制动器 + 后双作用盘式制动器 + 电子制动系统,双连杆前悬挂+后拖臂弹簧悬挂,,31.45,120,,,1245×592×1340,,11英寸自修复黑色轮胎,APP：ninebot app；gps定位系统：Apple Find My；tcs_抗滑动：是,"{""AirLock"": ""是"", ""LED"": ""是"", ""SegRide"": ""是"", ""可折叠"": ""是"", ""折叠后尺寸大小(l*w*h) (mm)"": ""1245×592×645"", ""推荐年龄(year)"": ""16+"", ""推荐高度(cm)"": ""160-200"", ""最大爬坡角度(°)"": ""25"", ""灯光系统"": ""前大灯 + 刹车灯""}",ninebot-esc.csv
